134	Galβ1-3GlcNAcβ–Sp8
135	Galβ1-4(Fucα1-3)GlcNAcβ–Sp0
136	Galβ1-4(Fucα1-3)GlcNAcβ–Sp8
137	Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ-Sp0
138	Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ–Sp0
139	Galβ1-4[6OSO3]Glcβ–Sp0
140	Galβ1-4[6OSO3]Glcβ–Sp8
141	Galβ1-4GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp8
142	Galβ1-4GalNAcβ1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp8
143	Neu5Acα2-3Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-3Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12
144	Galβ1-4GlcNAcβ1-3GalNAcα–Sp8
145	Galβ1-4GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0
146	Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ–Sp0
147	Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ–Sp0
148	Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ–Sp0
149	Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ–Sp8
150	Galβ1-4GlcNAcβ1-6(Galβ1-3)GalNAcα–Sp8
151	Galβ1-4GlcNAcβ1-6GalNAcα–Sp8
152	Galβ1-4GlcNAcβ–Sp0
153	Galβ1-4GlcNAcβ–Sp8
154	Galβ1-4Glcβ–Sp0
155	Galβ1-4Glcβ–Sp8
156	GlcNAcα1-3Galβ1-4GlcNAcβ-Sp8
157	GlcNAcα1-6Galβ1-4GlcNAcβ-Sp8
158	GlcNAcβ1-2Galβ1-3GalNAcα–Sp8
159	GlcNAcβ1-3(GlcNAcβ1-6)GalNAcα–Sp8
160	GlcNAcβ1-3(GlcNAcβ1-6)Galβ1-4GlcNAcβ–Sp8
161	GlcNAcβ1-3GalNAcα–Sp8
162	GlcNAcβ1-3Galβ-Sp8
163	GlcNAcβ1-3Galβ1-3GalNAcα-Sp8
164	GlcNAcβ1-3Galβ1-4GlcNAcβ–Sp0
165	GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp8
166	GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0
167	GlcNAcβ1-3Galβ1-4Glcβ–Sp0
168	GlcNAcβ1-4MDPLys
169	GlcNAcβ1-4(GlcNAcβ1-6)GalNAcα-Sp8
170	GlcNAcβ1-4Galβ1-4GlcNAcβ-Sp8
171	(GlcNAcβ1-4)6β-Sp8
172	(GlcNAcβ1-4)5β-Sp8
173	GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ–Sp8
174	GlcNAcβ1-6(Galβ1-3)GalNAcα–Sp8
175	GlcNAcβ1-6GalNAcα–Sp8
176	GlcNAcβ1-6Galβ1-4GlcNAcβ-Sp8
177	Glcα1-4Glcβ–Sp8
178	Glcα1-4Glca–Sp8
179	Glcα1-6Glcα1-6Glcβ-Sp8
180	Glcβ1-4Glcβ-Sp8
181	Glcβ1-6Glcβ-Sp8
182	G-ol-Sp8
183	GlcAa-Sp8
184	GlcAβ-Sp8
185	GlcAβ1-3Galβ-Sp8
186	GlcAβ1-6Galβ-Sp8
187	KDNα2-3Galβ1-3GlcNAcβ–Sp0
188	KDNα2-3Galβ1-4GlcNAcβ–Sp0
189	Manα1-2Manα1-2Manα1-3Manα-Sp9
190	Manα1-2Manα1-3(Manα1-2Manα1-6)Manα-Sp9
191	Manα1-2Manα1-3Manα-Sp9
192	Manα1-6(Manα1-2Manα1-3)Manα1-6(Manα2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12
193	Manα1-2Manα1-6(Manα1-3)Manα1-6(Manα2Manα2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12
194	Manα1-2Manα1-2Manα1-3(Manα1-2Manα1-3(Manα1-2Manα1-6)Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12
195	Manα1-3(Manα1-6)Manα–Sp9
196	Manα1-3(Manα1-2Manα1-2Manα1-6)Manα-Sp9
197	Manα1-6(Manα1-3)Manα1-6(Manα2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12
198	Manα1-6(Manα1-3)Manα1-6(Manα1-3)Manβ1-4GlcNAcβ1-4 GlcNAcβ-Sp12
199	Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-3Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12
200	Manβ1-4GlcNAcβ-Sp0
201	Fucα1-3(Galβ1-4)GlcNAcβ1-2Manα1-3(Fucα1-3(Galβ1-4)GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20
202	Neu5Acα2-3Galβ1-3GalNAcα-Sp8
203	NeuAcα2-8NeuAcα2-8NeuAcα2-8NeuAcα2-3(GalNAcβ1-4)Galβ1-4Glcβ-Sp0
204	Neu5Acα2-8Neu5Acα2-8Neu5Acα2-3(GalNAcβ1-4)Galβ1-4Glcβ-Sp0
205	Neu5Acα2-8Neu5Acα2-8Neu5Acα2-3Galβ1-4Glcβ–Sp0
206	Neu5Acα2-8Neu5Acα2-3(GalNAcβ1-4)Galβ1-4Glcβ–Sp0
207	Neu5Acα2-8Neu5Acα2-8Neu5Acα-Sp8
208	Neu5Acα2-3(6-O-Su)Galβ1-4(Fucα1-3)GlcNAcβ–Sp8
209	Neu5Acα2-3(GalNAcβ1-4)Galβ1-4GlcNAcβ-Sp0
210	Neu5Acα2-3(GalNAcβ1-4)Galβ1-4GlcNAcβ-Sp8
211	Neu5Acα2-3(GalNAcβ1-4)Galβ1-4Glcβ–Sp0
212	NeuAcα2-3(NeuAcα2-3Galβ1-3GalNAcβ1-4)Galβ1-4Glcβ-Sp0
213	Neu5Acα2-3(Neu5Acα2-6)GalNAcα–Sp8
214	Neu5Acα2-3GalNAcα–Sp8
215	Neu5Acα2-3GalNAcβ1-4GlcNAcβ-Sp0
216	Neu5Acα2-3Galβ1-3(6OSO3)GlcNAc-Sp8
217	Neu5Acα2-3Galβ1-3(Fucα1-4)GlcNAcβ–Sp8
218	NeuAcα2-3Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ Sp0
219	Neu5Acα2-3Galβ1-3(Neu5Acα2-3Galβ1-4)GlcNAcβ-Sp8
220	Neu5Acα2-3Galβ1-3[6OSO3]GalNAcα-Sp8
221	Neu5Acα2-3Galβ1-3(Neu5Acα2-6)GalNAcα–Sp8
222	Neu5Acα2-3Galβ-Sp8
223	NeuAcα2-3Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp0
224	NeuAcα2-3Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0
225	Neu5Acα2-3Galβ1-3GlcNAcβ–Sp0
