R1,R2,R3,R4,#atoms,Score1,Score2,Score3,Score4,EXX,EXX-C,EXX-LJ,Eintra,Eintra-C,Eintra-L,N12HB,DELHB,HBDnLig,HBAcLig,NNEB1,NNEB2,NGOOD,NBAD,NN2TOT,DSH-Total,DSH-FOSA,DSH-FISA,DSH-PISA,DSH-WPSA,DSL-Total,DSL-FOSA,DSL-FISA,DSL-PISA,DSL-WPSA,#stars,#amine,#nitro,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,BIPCaco,AffyPCaco,QPlogBB,AffyPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,QPlogHERG,RuleOf5,QP%HumanAbs
 180, 209,   1,   1,  89,      3.8967,     -1.1620,     -2.1987,      0.0000,        0.00,        0.00,        0.00,      181.25,      -45.56,      226.80,        0.00,        0.00,        4.00,        7.00,    0,    0,    0,    0,     0.000,  -297.814,   -80.663,  -209.664,    -7.487,     0.000,  -385.208,  -264.909,   -63.709,   -56.590,     0.000, 7, 0, 0, 0, 1,17, 1,-2,   824.784,    10.956,   993.300,   519.621,   220.658,   251.937,     1.085,  2015.569,     5.000,    24.700, 0.0595516, 0.0556034, 0.7768726,    65.999,    21.096,    43.873,    33.227,    -0.471,    -2.895,    -5.104,     5.859,    80.058,    -2.896,    32.734,    -3.067,     5.282,     3.737,10,    -1.693,    -4.970,1, 45
 181, 209,   1,   1,  90,      3.1122,     -1.9680,     -2.5425,      0.0000,        0.00,        0.00,        0.00,      199.30,      -28.37,      227.67,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -314.686,   -83.429,  -223.770,    -7.487,     0.000,  -397.258,  -306.323,   -34.606,   -56.329,     0.000, 6, 0, 0, 0, 1,16, 2,-2,   803.747,    10.289,  1015.222,   617.558,   139.849,   257.815,     0.000,  2046.866,     3.000,    22.200, 0.0517235, 0.0378750, 0.7679456,    67.950,    20.519,    39.787,    27.598,     1.326,    -3.808,    -5.760,    42.545,   467.429,    -1.982,   217.446,    -1.653,     4.990,     3.217,10,    -1.291,    -5.142,1, 70
 182, 209,   1,   1,  90,      3.2389,     -2.0982,     -2.3805,      0.0000,        0.00,        0.00,        0.00,      198.61,      -28.23,      226.83,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -310.259,   -86.784,  -215.988,    -7.487,     0.000,  -385.737,  -286.802,   -39.064,   -59.871,     0.000, 5, 0, 0, 0, 1,16, 2,-2,   803.747,    11.029,   991.153,   607.790,   114.206,   269.157,     0.000,  2024.802,     3.000,    22.200, 0.0600792, 0.0387947, 0.7809311,    67.175,    20.069,    39.593,    27.443,     1.414,    -3.444,    -5.760,    83.230,   818.250,    -1.649,   398.282,    -1.140,     5.175,     3.382,10,    -1.315,    -4.986,1, 74
 183, 209,   1,   1,  88,      2.8021,     -1.8566,     -2.1945,      0.0000,        0.00,        0.00,        0.00,      192.44,      -35.06,      227.50,        0.00,        0.00,        4.00,        6.00,    0,    0,    0,    0,     0.000,  -297.439,   -79.838,  -210.114,    -7.487,     0.000,  -382.716,  -264.399,   -62.177,   -56.140,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   788.735,     9.918,   970.193,   520.130,   192.764,   257.299,     0.000,  1972.625,     5.000,    22.700, 0.0498650, 0.0523182, 0.7840371,    64.974,    20.490,    42.222,    31.268,     0.273,    -3.334,    -5.202,    13.835,   147.204,    -2.491,    62.369,    -2.630,     5.504,     3.701,11,    -1.383,    -4.879,1, 54
 144, 209,   1,   1,  86,      2.0094,     -2.3773,     -2.1761,      0.0000,        0.00,        0.00,        0.00,      199.61,      -27.72,      227.33,        0.00,        0.00,        4.00,        5.00,    0,    0,    0,    0,     0.000,  -281.548,   -79.699,  -194.363,    -7.487,     0.000,  -363.871,  -262.183,   -36.559,   -65.128,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   760.725,     6.949,   946.401,   526.714,   150.301,   269.385,     0.000,  1912.913,     5.000,    21.200, 0.0252415, 0.0500894, 0.7874446,    62.700,    19.745,    40.077,    29.527,     0.823,    -3.445,    -5.253,    49.457,   372.043,    -2.017,   169.907,    -1.804,     5.272,     3.749,12,    -1.252,    -4.882,1, 65
 145, 209,   1,   1,  89,      2.1144,     -2.5489,     -2.2367,      0.0000,        0.00,        0.00,        0.00,      201.08,      -26.60,      227.68,        0.00,        0.00,        3.00,        5.00,    0,    0,    0,    0,     0.000,  -291.827,   -79.699,  -204.641,    -7.487,     0.000,  -375.689,  -269.479,   -45.272,   -60.938,     0.000, 5, 0, 0, 0, 1,16, 1,-2,   774.752,    13.362,   978.931,   611.751,   111.127,   256.053,     0.000,  1977.376,     4.000,    21.200, 0.0902890, 0.0433125, 0.7782854,    65.152,    19.805,    40.135,    27.783,     1.498,    -3.786,    -5.571,    67.845,   875.152,    -1.624,   428.301,    -1.129,     4.926,     3.100,13,    -1.174,    -4.966,1, 75
 146, 209,   1,   1,  92,      2.3764,     -2.4934,     -2.2262,      0.0000,        0.00,        0.00,        0.00,      202.41,      -26.39,      228.80,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -288.470,   -80.082,  -200.901,    -7.487,     0.000,  -373.235,  -268.216,   -39.256,   -65.763,     0.000, 6, 0, 0, 0, 1,16, 1,-2,   788.778,     6.089,  1004.687,   671.489,    96.029,   237.168,     0.000,  2030.786,     3.000,    21.200, 0.0182553, 0.0365482, 0.7719289,    67.109,    19.880,    38.260,    26.149,     1.929,    -3.999,    -5.874,   176.319,  1216.896,    -1.475,   611.645,    -0.918,     4.897,     3.100,12,    -1.128,    -4.979,1, 81
 147, 209,   1,   1,  89,      2.8745,     -2.2936,     -2.2039,      0.0000,        0.00,        0.00,        0.00,      199.27,      -27.72,      226.99,        0.00,        0.00,        4.00,        6.00,    0,    0,    0,    0,     0.000,  -300.716,   -88.134,  -205.096,    -7.487,     0.000,  -387.229,  -265.536,   -60.851,   -60.842,     0.000, 4, 1, 0, 0, 1,17, 1,-2,   774.752,     8.082,   979.402,   573.656,   150.906,   254.839,     0.000,  1975.867,     5.000,    21.200, 0.0330595, 0.0484016, 0.7775162,    64.438,    20.282,    40.710,    29.291,     0.610,    -2.520,    -4.475,     7.874,    91.571,    -1.727,    41.306,    -3.833,     5.708,     3.959,13,    -1.185,    -5.699,1, 53
 148, 209,   1,   1,  85,      3.1305,     -2.0079,     -2.2038,      0.0000,        0.00,        0.00,        0.00,      199.43,      -27.55,      226.98,        0.00,        0.00,        3.00,        6.00,    0,    0,    0,    0,     0.000,  -288.551,   -79.699,  -201.365,    -7.487,     0.000,  -374.231,  -265.518,   -47.353,   -61.360,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   761.710,     5.329,   943.032,   524.154,   142.863,   276.015,     0.000,  1908.972,     4.000,    21.200, 0.0148759, 0.0449614, 0.7891721,    62.605,    19.479,    38.430,    28.048,     0.929,    -3.270,    -5.317,    65.661,   437.654,    -1.930,   202.514,    -1.644,     5.608,     3.794,11,    -1.301,    -4.885,1, 67
 149, 209,   1,   1,  88,      3.1547,     -2.1277,     -2.2882,      0.0000,        0.00,        0.00,        0.00,      200.12,      -26.82,      226.94,        0.00,        0.00,        3.00,        6.00,    0,    0,    0,    0,     0.000,  -301.123,   -81.777,  -211.859,    -7.487,     0.000,  -383.119,  -275.692,   -44.697,   -62.730,     0.000, 4, 0, 0, 0, 1,17, 1,-2,   775.736,    10.751,   960.914,   567.950,   130.019,   262.945,     0.000,  1960.356,     4.000,    21.900, 0.0589636, 0.0455816, 0.7883223,    63.895,    19.731,    39.767,    28.384,     1.024,    -3.142,    -5.310,    60.587,   579.331,    -1.856,   274.222,    -1.357,     5.325,     3.685,11,    -1.355,    -4.837,1, 69
 150, 209,   1,   1,  88,      2.2628,     -2.1647,     -2.4488,      0.0000,        0.00,        0.00,        0.00,      200.76,      -27.24,      228.00,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -303.843,   -80.399,  -215.958,    -7.487,     0.000,  -383.561,  -295.040,   -33.493,   -55.028,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   775.736,     8.779,   954.101,   597.402,    89.867,   266.831,     0.000,  1952.014,     3.000,    21.200, 0.0394869, 0.0384860, 0.7916980,    64.240,    19.162,    37.645,    26.188,     1.578,    -3.235,    -5.616,   191.287,  1392.174,    -1.357,   707.401,    -0.700,     5.169,     3.602,11,    -1.272,    -4.801,1, 79
